Port,Service,Status,Risk Level
142,Unknown Service,CLOSED,UNKNOWN
143,IMAP,CLOSED,UNKNOWN
144,Unknown Service,CLOSED,UNKNOWN
145,Unknown Service,CLOSED,UNKNOWN
146,Unknown Service,CLOSED,UNKNOWN
147,Unknown Service,CLOSED,UNKNOWN
148,Unknown Service,CLOSED,UNKNOWN
149,Unknown Service,CLOSED,UNKNOWN
150,Unknown Service,CLOSED,UNKNOWN
151,Unknown Service,CLOSED,UNKNOWN
152,Unknown Service,CLOSED,UNKNOWN
153,Unknown Service,CLOSED,UNKNOWN
154,Unknown Service,CLOSED,UNKNOWN
155,Unknown Service,CLOSED,UNKNOWN
156,SQL Server,CLOSED,UNKNOWN
157,Unknown Service,CLOSED,UNKNOWN
158,Unknown Service,CLOSED,UNKNOWN
159,Unknown Service,CLOSED,UNKNOWN
160,Unknown Service,CLOSED,UNKNOWN
161,SNMP,CLOSED,HIGH
162,SNMP Trap,CLOSED,UNKNOWN
163,Unknown Service,CLOSED,UNKNOWN
164,Unknown Service,CLOSED,UNKNOWN
165,Unknown Service,CLOSED,UNKNOWN
166,Unknown Service,CLOSED,UNKNOWN
167,Unknown Service,CLOSED,UNKNOWN
168,Unknown Service,CLOSED,UNKNOWN
169,Unknown Service,CLOSED,UNKNOWN
170,Unknown Service,CLOSED,UNKNOWN
171,Unknown Service,CLOSED,UNKNOWN
172,Unknown Service,CLOSED,UNKNOWN
173,Unknown Service,CLOSED,UNKNOWN
174,Unknown Service,CLOSED,UNKNOWN
175,Unknown Service,CLOSED,UNKNOWN
176,Unknown Service,CLOSED,UNKNOWN
177,Unknown Service,CLOSED,UNKNOWN
178,Unknown Service,CLOSED,UNKNOWN
179,BGP,CLOSED,HIGH
180,Unknown Service,CLOSED,UNKNOWN
181,Unknown Service,CLOSED,UNKNOWN
182,Unknown Service,CLOSED,UNKNOWN
183,Unknown Service,CLOSED,UNKNOWN
184,Unknown Service,CLOSED,UNKNOWN
185,Unknown Service,CLOSED,UNKNOWN
186,Unknown Service,CLOSED,UNKNOWN
187,Unknown Service,CLOSED,UNKNOWN
188,Unknown Service,CLOSED,UNKNOWN
189,Unknown Service,CLOSED,UNKNOWN
190,Unknown Service,CLOSED,UNKNOWN
191,Unknown Service,CLOSED,UNKNOWN
192,Unknown Service,CLOSED,UNKNOWN
193,Unknown Service,CLOSED,UNKNOWN
194,IRC,CLOSED,UNKNOWN
195,Unknown Service,CLOSED,UNKNOWN
196,Unknown Service,CLOSED,UNKNOWN
197,Unknown Service,CLOSED,UNKNOWN
198,Unknown Service,CLOSED,UNKNOWN
199,Unknown Service,CLOSED,UNKNOWN
200,Unknown Service,CLOSED,UNKNOWN
201,AppleTalk Routing,CLOSED,UNKNOWN
202,Unknown Service,CLOSED,UNKNOWN
203,Unknown Service,CLOSED,UNKNOWN
204,Unknown Service,CLOSED,UNKNOWN
205,Unknown Service,CLOSED,UNKNOWN
206,Unknown Service,CLOSED,UNKNOWN
207,Unknown Service,CLOSED,UNKNOWN
208,Unknown Service,CLOSED,UNKNOWN
209,Unknown Service,CLOSED,UNKNOWN
210,Unknown Service,CLOSED,UNKNOWN
211,Unknown Service,CLOSED,UNKNOWN
212,Unknown Service,CLOSED,UNKNOWN
213,Unknown Service,CLOSED,UNKNOWN
214,Unknown Service,CLOSED,UNKNOWN
215,Unknown Service,CLOSED,UNKNOWN
216,Unknown Service,CLOSED,UNKNOWN
217,Unknown Service,CLOSED,UNKNOWN
218,Unknown Service,CLOSED,UNKNOWN
219,Unknown Service,CLOSED,UNKNOWN
220,IMAP3,CLOSED,UNKNOWN
221,Unknown Service,CLOSED,UNKNOWN
222,Unknown Service,CLOSED,UNKNOWN
223,Unknown Service,CLOSED,UNKNOWN
224,Unknown Service,CLOSED,UNKNOWN
225,Unknown Service,CLOSED,UNKNOWN
226,Unknown Service,CLOSED,UNKNOWN
227,Unknown Service,CLOSED,UNKNOWN
228,Unknown Service,CLOSED,UNKNOWN
229,Unknown Service,CLOSED,UNKNOWN
230,Unknown Service,CLOSED,UNKNOWN
231,Unknown Service,CLOSED,UNKNOWN
232,Unknown Service,CLOSED,UNKNOWN
233,Unknown Service,CLOSED,UNKNOWN
234,Unknown Service,CLOSED,UNKNOWN
235,Unknown Service,CLOSED,UNKNOWN
236,Unknown Service,CLOSED,UNKNOWN
237,Unknown Service,CLOSED,UNKNOWN
238,Unknown Service,CLOSED,UNKNOWN
239,Unknown Service,CLOSED,UNKNOWN
240,Unknown Service,CLOSED,UNKNOWN
241,Unknown Service,CLOSED,UNKNOWN
242,Unknown Service,CLOSED,UNKNOWN
243,Unknown Service,CLOSED,UNKNOWN
244,Unknown Service,CLOSED,UNKNOWN
245,Unknown Service,CLOSED,UNKNOWN
246,Unknown Service,CLOSED,UNKNOWN
247,Unknown Service,CLOSED,UNKNOWN
248,Unknown Service,CLOSED,UNKNOWN
249,Unknown Service,CLOSED,UNKNOWN
250,Unknown Service,CLOSED,UNKNOWN
251,Unknown Service,CLOSED,UNKNOWN
252,Unknown Service,CLOSED,UNKNOWN
253,Unknown Service,CLOSED,UNKNOWN
254,Unknown Service,CLOSED,UNKNOWN
255,Unknown Service,CLOSED,UNKNOWN
256,Unknown Service,CLOSED,UNKNOWN
257,Unknown Service,CLOSED,UNKNOWN
258,Unknown Service,CLOSED,UNKNOWN
259,Unknown Service,CLOSED,UNKNOWN
260,Unknown Service,CLOSED,UNKNOWN
261,Unknown Service,CLOSED,UNKNOWN
262,Unknown Service,CLOSED,UNKNOWN
263,Unknown Service,CLOSED,UNKNOWN
264,Unknown Service,CLOSED,UNKNOWN
265,Unknown Service,CLOSED,UNKNOWN
266,Unknown Service,CLOSED,UNKNOWN
267,Unknown Service,CLOSED,UNKNOWN
268,Unknown Service,CLOSED,UNKNOWN
269,Unknown Service,CLOSED,UNKNOWN
270,Unknown Service,CLOSED,UNKNOWN
271,Unknown Service,CLOSED,UNKNOWN
272,Unknown Service,CLOSED,UNKNOWN
273,Unknown Service,CLOSED,UNKNOWN
274,Unknown Service,CLOSED,UNKNOWN
275,Unknown Service,CLOSED,UNKNOWN
276,Unknown Service,CLOSED,UNKNOWN
277,Unknown Service,CLOSED,UNKNOWN
278,Unknown Service,CLOSED,UNKNOWN
279,Unknown Service,CLOSED,UNKNOWN
280,Unknown Service,CLOSED,UNKNOWN
281,Unknown Service,CLOSED,UNKNOWN
282,Unknown Service,CLOSED,UNKNOWN
283,Unknown Service,CLOSED,UNKNOWN
284,Unknown Service,CLOSED,UNKNOWN
285,Unknown Service,CLOSED,UNKNOWN
286,Unknown Service,CLOSED,UNKNOWN
287,Unknown Service,CLOSED,UNKNOWN
288,Unknown Service,CLOSED,UNKNOWN
289,Unknown Service,CLOSED,UNKNOWN
290,Unknown Service,CLOSED,UNKNOWN
291,Unknown Service,CLOSED,UNKNOWN
292,Unknown Service,CLOSED,UNKNOWN
293,Unknown Service,CLOSED,UNKNOWN
294,Unknown Service,CLOSED,UNKNOWN
295,Unknown Service,CLOSED,UNKNOWN
296,Unknown Service,CLOSED,UNKNOWN
297,Unknown Service,CLOSED,UNKNOWN
298,Unknown Service,CLOSED,UNKNOWN
299,Unknown Service,CLOSED,UNKNOWN
300,Unknown Service,CLOSED,UNKNOWN
301,Unknown Service,CLOSED,UNKNOWN
302,Unknown Service,CLOSED,UNKNOWN
303,Unknown Service,CLOSED,UNKNOWN
304,Unknown Service,CLOSED,UNKNOWN
305,Unknown Service,CLOSED,UNKNOWN
306,Unknown Service,CLOSED,UNKNOWN
307,Unknown Service,CLOSED,UNKNOWN
308,Unknown Service,CLOSED,UNKNOWN
309,Unknown Service,CLOSED,UNKNOWN
310,Unknown Service,CLOSED,UNKNOWN
311,Unknown Service,CLOSED,UNKNOWN
312,Unknown Service,CLOSED,UNKNOWN
313,Unknown Service,CLOSED,UNKNOWN
314,Unknown Service,CLOSED,UNKNOWN
315,Unknown Service,CLOSED,UNKNOWN
316,Unknown Service,CLOSED,UNKNOWN
317,Unknown Service,CLOSED,UNKNOWN
318,Unknown Service,CLOSED,UNKNOWN
319,Unknown Service,CLOSED,UNKNOWN
320,Unknown Service,CLOSED,UNKNOWN
321,Unknown Service,CLOSED,UNKNOWN
322,Unknown Service,CLOSED,UNKNOWN
323,Unknown Service,CLOSED,UNKNOWN
324,Unknown Service,CLOSED,UNKNOWN
325,Unknown Service,CLOSED,UNKNOWN
326,Unknown Service,CLOSED,UNKNOWN
327,Unknown Service,CLOSED,UNKNOWN
328,Unknown Service,CLOSED,UNKNOWN
329,Unknown Service,CLOSED,UNKNOWN
330,Unknown Service,CLOSED,UNKNOWN
331,Unknown Service,CLOSED,UNKNOWN
332,Unknown Service,CLOSED,UNKNOWN
333,Unknown Service,CLOSED,UNKNOWN
334,Unknown Service,CLOSED,UNKNOWN
335,Unknown Service,CLOSED,UNKNOWN
336,Unknown Service,CLOSED,UNKNOWN
337,Unknown Service,CLOSED,UNKNOWN
338,Unknown Service,CLOSED,UNKNOWN
339,Unknown Service,CLOSED,UNKNOWN
340,Unknown Service,CLOSED,UNKNOWN
341,Unknown Service,CLOSED,UNKNOWN
342,Unknown Service,CLOSED,UNKNOWN
343,Unknown Service,CLOSED,UNKNOWN
344,Unknown Service,CLOSED,UNKNOWN
345,Unknown Service,CLOSED,UNKNOWN
346,Unknown Service,CLOSED,UNKNOWN
347,Unknown Service,CLOSED,UNKNOWN
348,Unknown Service,CLOSED,UNKNOWN
349,Unknown Service,CLOSED,UNKNOWN
350,Unknown Service,CLOSED,UNKNOWN
351,Unknown Service,CLOSED,UNKNOWN
352,Unknown Service,CLOSED,UNKNOWN
353,Unknown Service,CLOSED,UNKNOWN
354,Unknown Service,CLOSED,UNKNOWN
355,Unknown Service,CLOSED,UNKNOWN
356,Unknown Service,CLOSED,UNKNOWN
357,Unknown Service,CLOSED,UNKNOWN
358,Unknown Service,CLOSED,UNKNOWN
359,Unknown Service,CLOSED,UNKNOWN
360,Unknown Service,CLOSED,UNKNOWN
361,Unknown Service,CLOSED,UNKNOWN
362,Unknown Service,CLOSED,UNKNOWN
363,Unknown Service,CLOSED,UNKNOWN
364,Unknown Service,CLOSED,UNKNOWN
365,Unknown Service,CLOSED,UNKNOWN
366,Unknown Service,CLOSED,UNKNOWN
367,Unknown Service,CLOSED,UNKNOWN
368,Unknown Service,CLOSED,UNKNOWN
369,Unknown Service,CLOSED,UNKNOWN
370,Unknown Service,CLOSED,UNKNOWN
371,Unknown Service,CLOSED,UNKNOWN
372,Unknown Service,CLOSED,UNKNOWN
373,Unknown Service,CLOSED,UNKNOWN
374,Unknown Service,CLOSED,UNKNOWN
375,Unknown Service,CLOSED,UNKNOWN
376,Unknown Service,CLOSED,UNKNOWN
377,Unknown Service,CLOSED,UNKNOWN
378,Unknown Service,CLOSED,UNKNOWN
379,Unknown Service,CLOSED,UNKNOWN
380,Unknown Service,CLOSED,UNKNOWN
381,Unknown Service,CLOSED,UNKNOWN
382,Unknown Service,CLOSED,UNKNOWN
383,Unknown Service,CLOSED,UNKNOWN
384,Unknown Service,CLOSED,UNKNOWN
385,Unknown Service,CLOSED,UNKNOWN
386,Unknown Service,CLOSED,UNKNOWN
387,Unknown Service,CLOSED,UNKNOWN
388,Unknown Service,CLOSED,UNKNOWN
389,LDAP,CLOSED,HIGH
390,Unknown Service,CLOSED,UNKNOWN
391,Unknown Service,CLOSED,UNKNOWN
392,Unknown Service,CLOSED,UNKNOWN
393,Unknown Service,CLOSED,UNKNOWN
394,Unknown Service,CLOSED,UNKNOWN
395,Unknown Service,CLOSED,UNKNOWN
396,Unknown Service,CLOSED,UNKNOWN
397,Unknown Service,CLOSED,UNKNOWN
398,Unknown Service,CLOSED,UNKNOWN
399,Unknown Service,CLOSED,UNKNOWN
400,Unknown Service,CLOSED,UNKNOWN
401,Unknown Service,CLOSED,UNKNOWN
402,Unknown Service,CLOSED,UNKNOWN
403,Unknown Service,CLOSED,UNKNOWN
404,Unknown Service,CLOSED,UNKNOWN
405,Unknown Service,CLOSED,UNKNOWN
406,Unknown Service,CLOSED,UNKNOWN
407,Unknown Service,CLOSED,UNKNOWN
408,Unknown Service,CLOSED,UNKNOWN
409,Unknown Service,CLOSED,UNKNOWN
410,Unknown Service,CLOSED,UNKNOWN
411,Unknown Service,CLOSED,UNKNOWN
